Customer,FR intake,TP intake,DFL intake,Register update intake,Total intake,FR output,TP output,DFL output,Register update output,Total output,FR requests for information,TP requests for information,DFL requests for information,Register update requests for information,Total requests for information
JMW Solicitors LLP,43,165,103,2203,2514,41,129,105,2134,2409,11,75,46,597,729
John W Davies & Co,9,12,20,519,560,7,17,24,507,555,2,13,18,156,189
Jones & Company,36,5,35,360,436,26,9,24,341,400,6,4,13,87,110
Jones Day,0,11,0,415,426,0,14,4,389,407,0,10,2,36,48
Judge & Priestley,2,60,6,427,495,2,36,2,373,413,2,20,1,99,122
Just Retirement Money Limited,0,0,0,512,512,0,0,0,500,500,0,0,0,0,0
Keebles LLP,30,64,71,874,1039,20,54,64,792,930,4,34,39,266,343
Kew Law LLP,15,24,40,361,440,15,20,33,342,410,5,12,22,111,150
Key Conveyancing,8,77,198,317,600,9,75,191,293,568,5,46,106,97,254
Kidd Rapinet LLP,7,49,31,562,649,16,50,25,534,625,5,27,21,175,228
Kitson Hutchings,10,17,20,312,359,12,22,11,304,349,8,13,6,101,128
Knights Solicitors LLP (Newcastle Under Lyme),22,128,69,2142,2361,22,65,82,1853,2022,13,33,37,240,323
Kuit Steinart Levy,4,19,11,355,389,4,24,5,395,428,3,14,2,99,118
Laceys,2,26,9,325,362,3,20,5,274,302,2,9,2,43,56
Lambert Pugh,14,4,32,342,392,12,4,31,346,393,5,3,10,78,96
Lambert Taylor & Gregory,17,2,8,404,431,18,7,8,466,499,5,5,4,75,89
Langley Wellington,11,39,114,352,516,12,43,117,305,477,5,31,70,102,208
Langleys,57,38,29,281,405,53,30,20,268,371,7,9,13,78,107
Lanyon Bowdler,40,21,44,339,444,36,26,40,321,423,21,10,20,60,111
Lawcomm Solicitors,1,229,12,193,435,2,189,16,172,379,0,107,11,57,175
Lawrence Stephens,2,51,3,403,459,1,65,4,437,507,0,34,2,111,147
Laytons Solicitors LLP,0,21,9,384,414,1,16,4,325,346,1,15,2,79,97
LB of Brent,0,4,0,533,537,1,0,0,477,478,0,0,0,6,6
LCF Residential Ltd,6,9,18,332,365,9,7,25,311,352,1,4,14,82,101
Leasehold Law LLP,0,80,4,361,445,0,66,9,321,396,0,34,8,10,52
Leathes Prior,16,28,29,281,354,13,24,25,285,347,2,11,10,77,100
Leeds & Holbeck Building Society,0,0,0,3933,3933,0,0,0,3923,3923,0,0,0,0,0
Legal Aid Agency,0,0,0,2981,2981,0,0,0,2955,2955,0,0,0,17,17
Lester Aldridge LLP,5,80,22,724,831,7,124,22,737,890,7,61,11,97,176
Levi Solicitors LLP,23,21,81,434,559,17,18,70,447,552,8,14,29,134,185
Lightfoots,15,62,53,3174,3304,15,53,47,3083,3198,10,33,27,545,615
Lloyds Bank PLC,0,0,0,7835,7835,0,0,0,7700,7700,0,0,0,17,17
LMS (trading as Total Conveyancing Services),4,1,5,3752,3762,6,0,5,3787,3798,3,0,5,1110,1118
Lockings,27,50,33,409,519,33,25,43,401,502,7,13,20,100,140
London & Quadrant Housing Trust,0,12,6,505,523,0,7,3,496,506,0,3,1,3,7
Lowell Solicitors Limited,0,0,0,497,497,0,0,0,445,445,0,0,0,22,22
Lupton Fawcett Denison Till,14,16,17,384,431,14,23,21,376,434,7,14,8,56,85
Macfarlanes LLP,1,14,9,465,489,1,11,8,421,441,1,5,5,29,40
Malcolm C Foy & Co Limited,6,21,206,304,537,7,17,233,305,562,2,8,144,83,237
Marcus Baum,12,29,17,499,557,13,25,19,462,519,3,16,10,132,161
Marsden Rawsthorn LLP,27,16,37,470,550,29,16,33,431,509,11,11,16,172,210
Martin Tolhurst Partnership LLP,4,50,59,1102,1215,8,32,40,1057,1137,3,22,19,258,302
Martin-Kaye,10,16,16,421,463,7,11,22,400,440,3,9,6,89,107
Mason Baggott & Garton,16,4,41,347,408,12,6,28,337,383,8,3,17,106,134
Matthew & Matthew,7,42,23,288,360,3,26,17,237,283,2,9,7,52,70
Matthew Montgomery & Co,2,31,102,250,385,1,30,99,245,375,0,14,52,77,143
Mayo Wynne Baxter,12,61,24,533,630,10,45,23,481,559,4,22,14,124,164
McMillan Williams,16,199,85,1642,1942,16,199,68,1612,1895,10,137,40,598,785
Mendip District Council,3,0,2,670,675,0,0,2,654,656,0,0,0,1,1
Metcalfe Copeman & Pettefar,34,6,20,358,418,25,3,24,374,426,12,1,12,96,121
MFG Solicitors,65,53,70,493,681,52,41,53,481,627,18,32,32,124,206
Michelmores LLP,23,52,53,522,650,22,40,31,443,536,10,13,23,97,143
Mike Judge,0,0,0,343,343,0,0,0,345,345,0,0,0,28,28
Mills & Reeve LLP,15,122,26,699,862,21,108,26,565,720,13,35,17,112,177
Mincoffs Solicitors LLP,12,24,36,451,523,8,11,17,375,411,3,6,7,65,81
Mishcon De Reya,4,62,6,421,493,1,85,1,293,380,1,62,1,77,141
Moon Beever,0,17,0,322,339,0,30,0,366,396,0,8,0,30,38
Mooreblatch,17,60,49,531,657,14,51,50,503,618,4,19,26,111,160
Morgan Jones & Pett,11,40,40,433,524,10,26,38,410,484,3,16,27,141,187
Morgan Laroche,15,12,21,304,352,22,18,18,292,350,11,12,9,50,82
Morrisons,3,30,9,371,413,2,26,14,234,276,2,13,6,72,93
Mortimer Clarke Solicitors Limited,0,0,0,1567,1567,0,0,0,1620,1620,0,0,0,63,63
Mortons,7,36,37,366,446,8,27,33,307,375,3,11,23,104,141
MSB Law LLP,8,25,108,516,657,7,46,113,478,644,2,22,70,163,257
Muckle LLP,17,9,194,222,442,12,22,42,335,411,3,13,9,37,62
My Home Move Limited,114,283,434,9679,10510,144,245,405,9511,10305,49,151,208,1573,1981
Nalders Solicitors,44,39,60,544,687,47,25,60,473,605,16,17,29,161,223
Nantes,23,18,18,290,349,18,10,25,281,334,6,3,9,50,68
Napthens LLP,61,25,101,866,1053,54,29,82,908,1073,22,19,53,227,321
National Westminster Bank PLC,0,0,0,29686,29686,0,0,0,29523,29523,0,0,0,37,37
Nationwide Building Society,0,0,0,35425,35425,0,0,0,35424,35424,0,0,0,18,18
Neil Myerson LLP,4,13,9,396,422,1,14,1,854,870,0,11,1,35,47
Nelsons Solicitors LLP,13,12,15,431,471,13,5,17,388,423,10,5,7,119,141
Nemo Personal Finance Limited,0,0,0,502,502,0,0,0,502,502,0,0,0,0,0
Neves Solicitors,14,46,53,334,447,13,53,40,297,403,6,27,26,75,134
New Homes Law,0,334,202,165,701,0,336,176,148,660,0,189,105,66,360
Newbold & Co,61,9,129,532,731,56,19,122,554,751,9,12,52,156,229
Newtons Solicitors Ltd,26,14,54,482,576,27,10,63,431,531,13,7,33,123,176
Nigel Broadhead Mynard,12,36,42,440,530,12,36,34,432,514,7,25,21,166,219
Northumbrian Water Limited,0,0,2,335,337,0,0,1,336,337,0,0,0,23,23
Norton Finance (UK) Limited,0,0,0,438,438,0,0,0,433,433,0,0,0,29,29
Norton Peskett (Quality Solicitors),44,22,95,506,667,41,24,119,487,671,10,11,46,109,176
Nottingham Building Society,0,0,0,1038,1038,0,0,0,1032,1032,0,0,0,0,0
O'Neill Patient,72,210,179,20180,20641,59,153,197,20032,20441,21,90,116,3958,4185
Oliver & Co Solicitors Limited,13,34,17,329,393,13,36,16,321,386,5,25,8,100,138
Onesavings Bank PLC,0,0,0,1154,1154,0,0,0,1157,1157,0,0,0,0,0
Optima Legal Services,42,37,24,18743,18846,47,16,18,18761,18842,12,10,11,2998,3031
Orbit Group Limited,0,0,0,333,333,0,0,0,3,3,0,0,0,1,1
Osborne Clarke,9,101,68,1192,1370,7,115,45,847,1014,4,36,31,145,216
Osler Donegan Taylor,2,70,16,360,448,2,52,27,341,422,0,30,9,72,111
PCS,19,103,78,562,762,21,132,94,617,864,7,74,54,212,347
Paragon Group,0,0,0,2568,2568,0,0,0,2523,2523,0,0,0,60,60
Paratus AMC Ltd,0,0,0,513,513,0,0,0,517,517,0,0,0,1,1
Paris Smith LLP,17,118,38,786,959,19,66,34,802,921,8,26,11,147,192
Park Woodfine,11,38,85,255,389,13,47,119,260,439,2,23,40,74,139
Parkinson Wright LLP,17,34,35,446,532,20,24,36,432,512,8,13,15,95,131
Paul Robinson & Co,12,57,40,483,592,13,69,42,460,584,6,39,25,165,235
Payplan Partnership,0,0,0,345,345,0,0,0,330,330,0,0,0,3,3
Penningtons Manches LLP,10,54,43,610,717,10,77,43,566,696,5,35,29,111,180
Pepper (UK) Ltd,0,0,0,1323,1323,0,0,0,1315,1315,0,0,0,1,1
Peter Lynn & Partners,18,8,56,254,336,15,15,35,219,284,7,9,28,77,121
Philip Ross & Co,2,71,5,397,475,3,37,7,383,430,1,24,6,105,136
Pinsent Masons LLP,8,493,582,1854,2937,4,555,634,1692,2885,2,401,332,145,880
Pirie Palmann Limited,14,19,43,753,829,15,13,30,749,807,2,11,11,149,173
Platform Funding Limited,0,0,0,2026,2026,0,0,0,2007,2007,0,0,0,0,0
Platform Funding Limited (Leek 12),0,0,0,498,498,0,0,0,503,503,0,0,0,0,0
PM Law Ltd,10,36,29,568,643,11,26,32,563,632,8,18,20,164,210
Poole Alcock LLP,22,32,64,477,595,23,19,56,458,556,14,9,31,173,227
Porter Dodson LLP,46,33,32,362,473,34,29,32,335,430,11,8,13,65,97
Premier Solicitors LLP,17,36,20,487,560,22,32,16,467,537,13,23,12,206,254
Principality Building Society,0,0,0,2185,2185,0,0,0,2139,2139,0,0,0,1,1
Property Legal Services (PLS),27,379,579,1716,2701,28,296,554,1842,2720,16,168,315,524,1023
Pure Law LLP,6,38,14,1219,1277,7,21,7,1187,1222,2,5,6,92,105
Ramsdens Solicitors LLP,53,54,99,1367,1573,49,34,95,1343,1521,17,22,60,296,395
Rathbone Trust Company Limited,0,0,0,1071,1071,5,0,2,1067,1074,0,0,1,2,3
Read Roper and Read,13,25,23,690,751,14,19,16,643,692,6,17,7,199,229
Red Kite Law,69,23,55,430,577,68,15,45,418,546,39,12,25,123,199
Reed Smith  LLP,1,13,1,773,788,1,11,3,538,553,0,9,3,44,56
Renier Gillies (t/a RG Solicitors),23,67,193,550,833,20,71,201,519,811,5,44,98,167,314
Restons,0,0,0,878,878,0,0,0,878,878,0,0,0,17,17
Rhodes & Walker,6,3,207,125,341,4,5,158,119,286,0,5,94,49,148
Right Choice Conveyancing Limited,7,18,117,196,338,6,11,90,193,300,1,6,41,60,108
Riseam Sharples,0,148,1,203,352,0,130,0,200,330,0,69,0,33,102
RMNJ Solicitors,13,31,34,575,653,15,26,31,550,622,4,15,21,159,199
Robertsons,10,31,47,2834,2922,12,28,48,2764,2852,3,24,31,261,319
Rogers & Norton Limited,13,15,58,289,375,16,35,56,275,382,4,24,27,73,128
Rollits LLP,5,89,30,238,362,8,110,22,233,373,6,37,6,35,84
Ronald Fletcher Baker LLP,6,107,33,623,769,2,81,24,604,711,0,37,13,186,236
Ross Coates (t/a Harmony Law and Unite Solicitors),6,22,28,283,339,13,29,27,305,374,3,22,16,101,142
Rothera Sharp,16,10,16,367,409,19,6,20,383,428,9,5,8,110,132
Rowlinsons Solicitors,13,20,37,348,418,20,23,35,353,431,10,6,18,91,125
Roythornes Limited,46,19,114,537,716,35,16,106,538,695,11,7,74,126,218
Russell & Russell,30,133,90,2448,2701,36,80,70,2380,2566,19,50,48,587,704
Russell-Cooke LLP,2,94,6,517,619,2,62,10,441,515,2,42,8,125,177
Salehs LLP,2,23,10,368,403,3,13,14,311,341,2,7,6,89,104
Santander UK,0,0,0,4023,4023,0,0,0,3805,3805,0,0,0,2,2
Santander UK PLC,0,0,0,10991,10991,0,0,0,11178,11178,0,0,0,4,4
Sas Daniels,80,68,53,583,784,75,40,39,589,743,18,24,26,216,284
Schofield Sweeney LLP,17,36,55,498,606,19,34,41,488,582,13,22,24,127,186
Seatons,9,20,35,332,396,9,8,42,327,386,1,5,25,108,139
Seddons,2,92,17,582,693,0,67,11,538,616,0,46,6,123,175
Setfords Law Ltd,21,196,100,1220,1537,22,142,75,1101,1340,7,80,41,332,460
Shakespeare Martineau LLP,26,906,358,1766,3056,39,902,344,1695,2980,21,228,148,389,786
Sherrards,5,65,13,265,348,4,40,2,237,283,3,25,1,45,74
Shoosmiths,62,384,235,3797,4478,54,382,249,3456,4141,15,203,138,671,1027
Shulmans,10,21,39,9739,9809,10,11,50,9794,9865,5,5,41,1834,1885
Sills & Betteridge incorporating MacLaren Britton,48,23,77,568,716,45,14,75,536,670,18,7,34,146,205
Simply Conveyancing Property Lawyers,19,21,34,854,928,20,18,26,862,926,8,5,20,208,241
Sintons LLP,12,40,30,293,375,11,24,28,277,340,5,9,15,75,104
Skipton Building Society,0,1,0,3779,3780,0,0,0,3729,3729,0,0,0,2,2
Slater Heelis LLP,20,27,29,389,465,17,25,16,419,477,7,13,9,100,129
Slaughter & May,1,15,1,817,834,0,2,0,807,809,0,2,0,10,12
Slee Blackwell,40,28,71,499,638,44,19,55,462,580,18,9,29,100,156
Solex Legal Services Limited,0,8,7,5366,5381,0,5,7,5341,5353,0,1,7,632,640
Sort Legal Limited,4,0,8,1203,1215,4,0,3,1166,1173,1,0,2,113,116
Spire Solicitors LLP,60,21,92,522,695,72,19,81,514,686,31,9,37,133,210
Spratt Endicott,27,41,51,462,581,18,59,63,435,575,12,44,49,137,242
Squire Patton Boggs (UK) LLP,6,43,31,573,653,7,41,28,557,633,2,21,11,95,129
Star Legal LLP,57,37,66,789,949,53,44,70,762,929,23,26,37,198,284
Stephen Rimmer LLP,2,56,43,512,613,2,42,39,459,542,1,26,16,138,181
Stephens Scown,41,26,77,431,575,35,26,65,445,571,16,21,48,119,204
Stephenson Harwood,0,15,3,376,394,0,8,2,158,168,0,7,2,37,46
Stephensons LLP,17,42,47,377,483,16,67,33,336,452,6,43,19,98,166
Stirling Ackroyd Legal,2,46,15,455,518,3,55,23,441,522,1,37,16,210,264
Streeter Marshall,2,40,12,287,341,2,28,5,265,300,2,18,1,69,90
Sweeney Miller Solicitors,8,40,62,609,719,16,30,41,594,681,5,20,18,187,230
Switalskis Limited,26,36,132,347,541,23,26,119,354,522,12,15,68,140,235
Sydney Mitchell LLP,13,24,17,299,353,7,17,11,282,317,4,13,8,99,124
TJ Legal Services Limited,12,51,203,395,661,14,60,177,358,609,6,40,95,141,282
Talbots Law Limited,73,188,352,1377,1990,73,175,401,1331,1980,31,113,237,391,772
Tallents Solicitors,17,7,140,242,406,11,1,130,241,383,2,1,79,61,143
Target Group Limited,0,0,0,1080,1080,0,0,0,1073,1073,0,0,0,0,0
Taylor & Emmet,61,34,144,983,1222,57,31,115,909,1112,27,14,49,240,330
Taylor Bracewell,17,7,43,465,532,19,14,40,447,520,9,10,19,102,140
Taylor Rose Law,42,175,371,6830,7418,41,189,454,6486,7170,18,128,283,1366,1795
Taylor Walton,17,77,96,657,847,18,91,79,674,862,8,37,45,174,264
Taylors Legal,1,239,86,311,637,1,224,92,262,579,0,113,59,82,254
Tayntons (LS) Limited,10,15,31,315,371,10,27,26,329,392,5,17,19,101,142
TBD Legal Limited,3,21,22,400,446,4,27,24,362,417,2,15,17,124,158
Tees,26,56,118,551,751,29,42,103,533,707,9,27,52,139,227
Thackray Williams,4,108,141,458,711,4,100,106,456,666,1,43,43,124,211
The Co-operative Bank,0,0,0,3163,3163,0,0,0,3137,3137,0,0,0,1,1
The Compton Group,6,0,275,299,580,6,0,91,280,377,2,0,27,12,41
The Foster Partnership Limited,4,34,42,331,411,3,18,37,293,351,1,13,20,88,122
The Mortgage Works (UK) PLC,0,0,0,5300,5300,0,0,0,5268,5268,0,0,0,0,0
The Partnership (2009) Limited,5,27,12,382,426,3,33,16,394,446,2,25,10,145,182
The Planning Crowd,14,0,0,422,436,15,0,0,428,443,3,0,0,56,59
The Ringrose Law Group,31,14,46,453,544,27,18,44,440,529,6,12,20,108,146
The Royal Bank of Scotland PLC,0,0,0,7776,7776,0,0,0,7759,7759,0,0,0,4,4
The Smith Partnership,29,21,91,575,716,35,16,104,551,706,9,9,54,174,246
The Spicketts Battrick Law Practice,33,50,72,922,1077,27,57,76,909,1069,11,41,47,318,417
The Wilkes Partnership,14,24,28,467,533,15,20,18,430,483,8,11,13,100,132
The Wrekin Housing Trust,0,0,26,13228,13254,0,0,37,8753,8790,0,0,26,5,31
Thomas & Thomas Solicitors Ltd,10,4,36,345,395,11,8,27,336,382,3,4,11,92,110
Thomas Flavell & Sons,19,31,82,454,586,15,40,74,434,563,6,27,52,154,239
Thomson Snell & Passmore,21,29,33,571,654,21,35,25,529,610,11,14,14,129,168
Thrings LLP,15,62,28,414,519,17,51,24,416,508,8,34,13,109,164
Thursfields Solicitors,26,31,46,377,480,34,29,59,366,488,15,17,37,95,164
Tickle Hall Cross,17,19,23,311,370,13,27,30,321,391,4,14,20,83,121
Tilly Bailey & Irvine,18,8,65,421,512,22,11,59,439,531,10,5,24,78,117
Tinsdills Solicitors,25,6,26,310,367,28,8,36,292,364,9,4,16,85,114
TLT LLP,26,125,57,1727,1935,24,138,55,1584,1801,7,93,36,289,425
Together Commercial Finance Ltd,0,0,0,1409,1409,0,0,0,1393,1393,0,0,0,124,124
Together Personal Finance Ltd,0,0,0,1381,1381,0,0,0,1353,1353,0,0,0,108,108
Tolhurst & Fisher,13,52,22,397,484,11,37,24,358,430,7,20,13,97,137
Tollers LLP,11,19,39,342,411,18,19,33,319,389,8,11,19,89,127
Tozers LLP,13,30,60,299,402,11,24,62,325,422,3,13,26,68,110
TQ Property Lawyers Ltd,13,98,20,599,730,13,138,14,603,768,8,93,7,181,289
Trethowans,26,65,50,643,784,20,71,47,659,797,8,39,15,162,224
Trowers & Hamlins,17,550,185,5650,6402,25,472,209,4515,5221,15,96,119,175,405
TSB Bank PLC Mortgage Servicing,0,0,0,5870,5870,0,0,0,5947,5947,0,0,0,0,0
TSB Bank PLC Sheldon Sec Centre,0,0,0,1489,1489,0,0,0,1378,1378,0,0,0,0,0
TWM Solicitors LLP,12,180,31,1127,1350,12,114,29,1048,1203,6,49,15,269,339
Veale Wasbrough Vizards,24,92,13,535,664,23,87,45,512,667,13,49,12,125,199
Vincents Solicitors,18,53,20,295,386,17,100,25,295,437,10,75,11,103,199
Virgin Money PLC,0,0,0,6803,6803,0,0,0,6717,6717,0,0,0,2,2
Wake Smith Solicitors Limited,17,14,39,423,493,21,7,38,394,460,9,5,17,87,118
Waldrons,23,9,33,332,397,18,12,28,320,378,3,8,15,86,112
Walker Foster,31,16,73,317,437,31,11,77,300,419,8,9,48,69,134
Walker Morris LLP,4,38,21,633,696,5,30,10,675,720,4,26,8,126,164
Wansbroughs,12,16,24,311,363,13,14,15,268,310,7,2,4,33,46
Ward Gethin Archer,77,27,118,623,845,69,7,106,585,767,30,5,59,189,283
Ward Hadaway,12,46,86,586,730,42,40,49,583,714,8,21,26,131,186
Wards,48,57,214,789,1108,41,47,188,702,978,13,30,99,159,301
Warner Goodman LLP,23,24,19,531,597,26,18,33,506,583,5,10,15,87,117
Watson Ramsbottom,15,126,354,481,976,12,117,391,451,971,5,62,199,141,407
WBW LLP trading as WBW Solicitors,28,31,37,572,668,26,26,51,575,678,9,16,27,139,191
Weightmans LLP,13,75,14,577,679,14,90,15,570,689,5,64,11,130,210
West Bromwich Building Society,0,0,0,1282,1282,0,0,0,1278,1278,0,0,0,1,1
West Coast Conveyancing,4,44,23,286,357,1,14,11,214,240,0,10,7,62,79
Whitehead Monckton,7,28,34,306,375,8,14,25,261,308,4,8,12,97,121
WHN Solicitors Limited,0,17,31,343,391,0,76,26,392,494,0,31,11,75,117
Wigan MBC,432,1,1,35,469,414,0,1,42,457,1,0,1,9,11
Wilkin Chapman LLP,97,37,111,1390,1635,90,22,121,1413,1646,32,12,72,251,367
Wilkinson Woodward Norcliffe & Co,34,13,44,470,561,31,5,33,448,517,13,3,20,131,167
Willans LLP,24,36,27,275,362,17,21,21,263,322,5,9,10,75,99
Williamsons Solicitors Limited,11,8,21,299,339,17,3,27,301,348,9,0,12,61,82
Wilson Browne,24,23,86,368,501,24,31,36,365,456,11,21,13,100,145
Winckworth Sherwood,11,344,102,7279,7736,9,393,109,4738,5249,2,158,57,107,324
Withy King,34,70,109,758,971,33,80,115,712,940,14,44,56,221,335
Wolferstans,13,16,47,327,403,12,17,47,325,401,6,9,17,84,116
Wollen Michelmore,23,30,65,379,497,27,28,54,368,477,14,19,30,104,167
Womble Bond Dickinson,65,229,177,1194,1665,72,79,218,994,1363,22,49,49,151,271
Woodford Stauffer,10,40,35,362,447,8,26,27,317,378,3,8,9,93,113
Wosskow Brown,26,26,36,364,452,23,24,33,362,442,11,19,13,140,183
Wright Hassall LLP,13,39,127,876,1055,12,40,116,807,975,5,23,52,111,191
Wrigleys,15,14,9,464,502,21,4,9,444,478,12,0,4,40,56
Yorkshire Bank Home Loans,0,0,0,4104,4104,0,0,0,4094,4094,0,0,0,5,5
Yorkshire Building Society,0,0,0,4615,4615,0,0,0,4626,4626,0,0,0,0,0
Your Conveyancer Limited,0,0,0,1880,1880,0,0,1,1883,1884,0,0,1,246,247
YVA Solicitors LLP,0,95,9,446,550,0,43,3,401,447,0,28,2,129,159
